// 3/11/2025 10:45:42 AM
// ReaderName=speedwayr-12-05-fd.local, AntennaIDs=1,2,3,4, InventoryMode=DualTarget, ModeIndex=1002, Population=32, PowerInDbm=30, Session=1
// Timestamp, EPC, TID, Antenna, RSSI, Frequency, Hostname, PhaseAngle, DopplerFrequency, CRHandle
2025-03-11T10:47:55.3803560-06:00,E280116060000209FF238D74,,1,-34,920.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.3810240-06:00,E280116060000209FF238D64,,1,-33.5,920.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.4952360-06:00,E280116060000209FF238D54,,1,-26,911.25,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.4967110-06:00,E280116060000209FF2351F4,,1,-40.5,911.25,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.4974240-06:00,E280116060000209FF238D74,,1,-37,911.25,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.4982120-06:00,E280116060000209FF238D64,,1,-39.5,911.25,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.5704070-06:00,E280116060000209FF2351F4,,1,-40.5,911.25,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.5715960-06:00,E280116060000209FF238D64,,1,-39,911.25,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.5724310-06:00,E280116060000209FF238D74,,1,-37,911.25,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.5732130-06:00,E280116060000209FF238D54,,1,-26,911.25,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.6866650-06:00,E280116060000209FF238D64,,1,-38.5,911.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.6873330-06:00,E280116060000209FF2351F4,,1,-40,911.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.6887470-06:00,E280116060000209FF238D74,,1,-36.5,911.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.6895770-06:00,E280116060000209FF238D54,,1,-25.5,911.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.7621710-06:00,E280116060000209FF238D74,,1,-36.5,911.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.7629460-06:00,E280116060000209FF2351F4,,1,-40,911.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.7637320-06:00,E280116060000209FF238D54,,1,-25.5,911.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.7654960-06:00,E280116060000209FF238D64,,1,-38.5,911.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.8849270-06:00,E280116060000209FF238D74,,1,-35.5,916.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.8865030-06:00,E280116060000209FF238D54,,1,-25,916.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.8876300-06:00,E280116060000209FF238D64,,1,-36,916.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.8883070-06:00,E280116060000209FF2351F4,,1,-37.5,916.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.9595270-06:00,E280116060000209FF238D74,,1,-35.5,916.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.9600690-06:00,E280116060000209FF2351F4,,1,-37,916.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.9612810-06:00,E280116060000209FF238D54,,1,-25,916.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.9626170-06:00,E280116060000209FF238D64,,1,-36,916.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:56.0750440-06:00,E280116060000209FF238D54,,1,-23.5,925.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:56.0757100-06:00,E280116060000209FF238D74,,1,-32.5,925.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:56.0771220-06:00,E280116060000209FF238D64,,1,-32,925.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:56.0785420-06:00,E280116060000209FF2351F4,,1,-32,925.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:56.1505950-06:00,E280116060000209FF238D64,,1,-32,925.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:56.1512570-06:00,E280116060000209FF238D74,,1,-32.5,925.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:56.1518100-06:00,E280116060000209FF2351F4,,1,-32,925.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:56.1537560-06:00,E280116060000209FF238D54,,1,-23.5,925.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:56.2679650-06:00,E280116060000209FF2351F4,,1,-39,913.25,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:56.2692580-06:00,E280116060000209FF238D54,,1,-25,913.25,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:56.2702120-06:00,E280116060000209FF238D64,,1,-38,913.25,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:56.2708650-06:00,E280116060000209FF238D74,,1,-36.5,913.25,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:56.3436090-06:00,E280116060000209FF2351F4,,1,-39,913.25,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:56.3444320-06:00,E280116060000209FF238D74,,1,-36.5,913.25,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:56.3456340-06:00,E280116060000209FF238D64,,1,-38,913.25,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:56.3465820-06:00,E280116060000209FF238D54,,1,-25,913.25,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:56.4577790-06:00,E280116060000209FF238D54,,1,-25,917.25,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:56.4591020-06:00,E280116060000209FF238D74,,1,-35.5,917.25,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:56.4600390-06:00,E280116060000209FF238D64,,1,-36,917.25,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:56.4607160-06:00,E280116060000209FF2351F4,,1,-37.5,917.25,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:56.5335490-06:00,E280116060000209FF238D54,,1,-25,917.25,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:56.5340880-06:00,E280116060000209FF238D64,,1,-36,917.25,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:56.5347550-06:00,E280116060000209FF2351F4,,1,-37.5,917.25,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:56.5352890-06:00,E280116060000209FF238D74,,1,-35.5,917.25,speedwayr-12-05-fd.local,,,
